,close,high,low,rsi,bb_upper,bb_lower,trend_ma,regime,standard_long_entries,standard_long_exits,standard_short_entries,standard_short_exits,trending_long_entries,trending_long_exits,trending_short_entries,trending_short_exits,ranging_long_entries,ranging_long_exits,ranging_short_entries,ranging_short_exits
2023-01-01 00:00:00,99.84458226479018,100.85916488532054,99.39455948684727,52.00019609117688,101.84147391008598,97.84769061949437,99.84458226479018,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 01:00:00,99.8587268467243,100.48105810619043,99.0424595027334,24.10587555428164,101.85590138365879,97.8615523097898,99.8587268467243,ranging,1,0,0,1,1,0,0,1,1,0,0,1
2023-01-01 02:00:00,99.99434743779834,100.04984834196178,99.70812899264222,52.89983515536771,101.99423438655431,97.99446048904237,99.99434743779834,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 03:00:00,100.12158340510918,101.12897413611351,99.86611142331465,41.60812442094126,102.12401507321137,98.11915173700699,100.12158340510918,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 04:00:00,100.1762826439564,100.54134766707091,99.331337517183,72.34575675849365,102.17980829683553,98.17275699107726,100.1762826439564,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 05:00:00,100.16659433617619,100.46289210957993,99.65253835338578,47.66368930188497,102.16992622289972,98.16326244945266,100.16659433617619,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 06:00:00,99.95236541390229,100.50068256047827,99.14343139660544,59.34720497717832,101.95141272218034,97.95331810562423,99.95236541390229,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 07:00:00,100.24528369890935,100.49721020428862,99.52702326406985,70.31629910531817,102.25018937288753,98.24037802493116,100.24528369890935,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 08:00:00,100.09552361773473,100.40245309367522,99.51933779751428,50.44023312014155,102.09743409008942,98.09361314538003,100.09552361773473,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 09:00:00,100.17321598791092,100.43418747763899,100.12697682944167,45.24648005925429,102.17668030766914,98.1697516681527,100.17321598791092,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 10:00:00,100.17206354081023,100.70878134499662,99.94992401898499,35.024382308182325,102.17550481162644,98.16862226999402,100.07277901762019,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 11:00:00,100.22148859206722,100.3910435133048,100.03580244528926,53.27645209671161,102.22591836390856,98.21705882022587,100.10704322919082,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 12:00:00,100.23655601712701,100.72321704999418,100.05715827029492,48.287679739340724,102.24128713746956,98.23182489678447,100.14139133559107,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 13:00:00,100.31313521236328,100.71760410401778,100.07496478337569,72.73627070540039,102.31939791661054,98.30687250811602,100.17037204236972,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 14:00:00,100.16909856135307,100.21632425549556,99.72530809974624,67.98287579607062,102.17248053258012,98.16571659012601,100.17469160202823,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 15:00:00,100.361369702867,100.56674995098683,100.15303528110277,59.28616022300386,102.36859709692433,98.35414230880966,100.19151769829283,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 16:00:00,100.34729957452849,100.72428061872029,100.05978209293696,54.682644929483814,102.35424556601906,98.34035358303792,100.20794544723395,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 17:00:00,100.13389829189529,100.22559527307249,99.98450848383555,65.90456808047458,102.1365762577332,98.13122032605739,100.22444843614242,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 18:00:00,100.54091713145947,100.59624733297255,99.92772723112212,42.956203548015495,102.55173547408866,98.53009878883027,100.25132420273789,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 19:00:00,100.96491765783888,100.97563179406251,100.70163366628323,58.26056305739299,102.98421601099567,98.9456193046821,100.33036002456552,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 20:00:00,101.21463031755694,101.83112175961186,100.90184353710117,8.167306519703928,101.05886258073485,99.79120552833186,100.42503405453336,ranging,1,0,0,1,1,0,0,1,1,0,0,1
2023-01-01 21:00:00,101.34913833987115,102.18033533646776,100.84092848508489,64.83308229773218,101.2926613945582,99.77142031433777,100.53204085444798,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 22:00:00,101.1072843789347,101.25004878559663,100.54175025550863,45.9763900726001,101.41252590727915,99.81260958104725,100.6125677441632,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-01 23:00:00,101.0421903338052,101.12352893372253,100.64450689122911,51.90949265754172,101.51267148642408,99.85894296857107,100.68580722749758,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-02 00:00:00,101.79954002389914,101.87926286823856,101.59559854703016,72.95111994052652,101.81844948176496,99.82342039350948,100.82093493763722,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-02 01:00:00,101.6789970130121,102.12892824712881,101.64084966310229,25.84364899419103,102.05894908978797,99.85744777669714,100.95819843324256,ranging,1,0,0,1,0,0,0,1,1,0,0,1
2023-01-02 02:00:00,101.7524627233371,102.34124511997472,100.85532025078474,58.640168826592486,102.27423850137728,99.89508436882971,101.0846614351035,ranging,0,0,0,1,0,0,0,1,0,0,0,1
2023-01-02 03:00:00,102.20761248609699,102.37189667684602,102.0939127057295,26.784094970737467,102.56881897898153,99.93874260241977,101.25378079070065,ranging,1,0,0,1,0,0,0,1,1,0,0,1
